phi_pi,phi_x,determinate,stable_root_count,roots_outside_unit_circle_count,infinite_root_count,spectral_radius
1.2000000000000002,0.44,True,3,2,1,0.8000000000000002
1.25,0.44,True,3,2,1,0.8
1.3,0.44,True,3,2,1,0.7999999999999999
1.35,0.44,True,3,2,1,0.8000000000000003
1.4,0.44,True,3,2,1,0.8
1.4500000000000002,0.44,True,3,2,1,0.7999999999999998
1.5,0.44,True,3,2,1,0.8
1.55,0.44,True,3,2,1,0.7999999999999999
1.6,0.44,True,3,2,1,0.8
1.6500000000000001,0.44,True,3,2,1,0.8000000000000003
1.7000000000000002,0.44,True,3,2,1,0.8000000000000003
1.75,0.44,True,3,2,1,0.8000000000000003
1.8,0.44,True,3,2,1,0.7999999999999999
1.85,0.44,True,3,2,1,0.8000000000000003
1.9000000000000001,0.44,True,3,2,1,0.7999999999999999
1.9500000000000002,0.44,True,3,2,1,0.8000000000000004
2.0,0.44,True,3,2,1,0.7999999999999998
2.05,0.44,True,3,2,1,0.7999999999999999
2.1,0.44,True,3,2,1,0.8
2.1500000000000004,0.44,True,3,2,1,0.8
2.2,0.44,True,3,2,1,0.7999999999999999
2.25,0.44,True,3,2,1,0.8000000000000003
2.3,0.44,True,3,2,1,0.8000000000000003
2.35,0.44,True,3,2,1,0.8000000000000002
2.4000000000000004,0.44,True,3,2,1,0.8000000000000002
2.45,0.44,True,3,2,1,0.8000000000000003
2.5,0.44,True,3,2,1,0.7999999999999998
0.5,0.48,False,4,1,1,
0.55,0.48,False,4,1,1,
0.6,0.48,False,4,1,1,
0.65,0.48,False,4,1,1,
0.7,0.48,False,4,1,1,
0.75,0.48,False,4,1,1,
0.8,0.48,False,4,1,1,
0.8500000000000001,0.48,False,4,1,1,
0.9,0.48,False,4,1,1,
0.95,0.48,False,4,1,1,
1.0,0.48,True,3,2,1,0.8
1.05,0.48,True,3,2,1,0.8000000000000003
1.1,0.48,True,3,2,1,0.8000000000000003
1.15,0.48,True,3,2,1,0.7999999999999999
1.2000000000000002,0.48,True,3,2,1,0.8000000000000002
1.25,0.48,True,3,2,1,0.7999999999999999
1.3,0.48,True,3,2,1,0.8000000000000002
1.35,0.48,True,3,2,1,0.7999999999999999
1.4,0.48,True,3,2,1,0.8
1.4500000000000002,0.48,True,3,2,1,0.7999999999999999
1.5,0.48,True,3,2,1,0.8000000000000002
1.55,0.48,True,3,2,1,0.8000000000000002
1.6,0.48,True,3,2,1,0.8000000000000002
1.6500000000000001,0.48,True,3,2,1,0.7999999999999999
1.7000000000000002,0.48,True,3,2,1,0.8000000000000002
1.75,0.48,True,3,2,1,0.8
1.8,0.48,True,3,2,1,0.8
1.85,0.48,True,3,2,1,0.7999999999999998
1.9000000000000001,0.48,True,3,2,1,0.8000000000000003
1.9500000000000002,0.48,True,3,2,1,0.7999999999999999
2.0,0.48,True,3,2,1,0.8000000000000005
2.05,0.48,True,3,2,1,0.8000000000000003
2.1,0.48,True,3,2,1,0.7999999999999998
2.1500000000000004,0.48,True,3,2,1,0.8
2.2,0.48,True,3,2,1,0.8000000000000003
2.25,0.48,True,3,2,1,0.7999999999999998
2.3,0.48,True,3,2,1,0.8
2.35,0.48,True,3,2,1,0.8000000000000002
2.4000000000000004,0.48,True,3,2,1,0.7999999999999998
2.45,0.48,True,3,2,1,0.8
2.5,0.48,True,3,2,1,0.7999999999999999
0.5,0.52,False,4,1,1,
0.55,0.52,False,4,1,1,
0.6,0.52,False,4,1,1,
0.65,0.52,False,4,1,1,
0.7,0.52,False,4,1,1,
0.75,0.52,False,4,1,1,
0.8,0.52,False,4,1,1,
0.8500000000000001,0.52,False,4,1,1,
0.9,0.52,False,4,1,1,
0.95,0.52,True,3,2,1,0.8
1.0,0.52,True,3,2,1,0.8000000000000003
1.05,0.52,True,3,2,1,0.8000000000000002
1.1,0.52,True,3,2,1,0.8000000000000002
1.15,0.52,True,3,2,1,0.8
1.2000000000000002,0.52,True,3,2,1,0.8000000000000003
1.25,0.52,True,3,2,1,0.7999999999999999
1.3,0.52,True,3,2,1,0.7999999999999998
1.35,0.52,True,3,2,1,0.8
1.4,0.52,True,3,2,1,0.8000000000000002
1.4500000000000002,0.52,True,3,2,1,0.8
1.5,0.52,True,3,2,1,0.8
1.55,0.52,True,3,2,1,0.7999999999999999
1.6,0.52,True,3,2,1,0.8000000000000002
1.6500000000000001,0.52,True,3,2,1,0.8
1.7000000000000002,0.52,True,3,2,1,0.8
1.75,0.52,True,3,2,1,0.8
1.8,0.52,True,3,2,1,0.8000000000000002
1.85,0.52,True,3,2,1,0.8
1.9000000000000001,0.52,True,3,2,1,0.7999999999999999
1.9500000000000002,0.52,True,3,2,1,0.8000000000000002
2.0,0.52,True,3,2,1,0.8
2.05,0.52,True,3,2,1,0.8
2.1,0.52,True,3,2,1,0.8000000000000002
2.1500000000000004,0.52,True,3,2,1,0.8000000000000004
2.2,0.52,True,3,2,1,0.8000000000000002
2.25,0.52,True,3,2,1,0.7999999999999998
2.3,0.52,True,3,2,1,0.7999999999999998
2.35,0.52,True,3,2,1,0.8000000000000002
2.4000000000000004,0.52,True,3,2,1,0.8
2.45,0.52,True,3,2,1,0.8000000000000002
2.5,0.52,True,3,2,1,0.8000000000000002
0.5,0.56,False,4,1,1,
0.55,0.56,False,4,1,1,
0.6,0.56,False,4,1,1,
0.65,0.56,False,4,1,1,
0.7,0.56,False,4,1,1,
0.75,0.56,False,4,1,1,
0.8,0.56,False,4,1,1,
0.8500000000000001,0.56,False,4,1,1,
0.9,0.56,False,4,1,1,
0.95,0.56,True,3,2,1,0.8000000000000004
1.0,0.56,True,3,2,1,0.7999999999999999
1.05,0.56,True,3,2,1,0.8000000000000003
1.1,0.56,True,3,2,1,0.7999999999999998
1.15,0.56,True,3,2,1,0.8000000000000003
1.2000000000000002,0.56,True,3,2,1,0.7999999999999997
1.25,0.56,True,3,2,1,0.7999999999999999
1.3,0.56,True,3,2,1,0.8000000000000002
1.35,0.56,True,3,2,1,0.7999999999999998
1.4,0.56,True,3,2,1,0.7999999999999998
1.4500000000000002,0.56,True,3,2,1,0.8
1.5,0.56,True,3,2,1,0.8
1.55,0.56,True,3,2,1,0.7999999999999998
1.6,0.56,True,3,2,1,0.8000000000000002
1.6500000000000001,0.56,True,3,2,1,0.8
1.7000000000000002,0.56,True,3,2,1,0.7999999999999999
1.75,0.56,True,3,2,1,0.7999999999999997
1.8,0.56,True,3,2,1,0.8
