output,input,response_period,shock_period,value
Y,monetary_policy_shock,8,15,0.20945692290705684
Y,monetary_policy_shock,8,16,0.19139962966406057
Y,monetary_policy_shock,8,17,0.16619547171505158
Y,monetary_policy_shock,8,18,0.13884078986693837
Y,monetary_policy_shock,8,19,0.1123883076333308
Y,monetary_policy_shock,8,20,0.08850026195073704
Y,monetary_policy_shock,8,21,0.06790144175565241
Y,monetary_policy_shock,8,22,0.050725810758678484
Y,monetary_policy_shock,8,23,0.03676681158976913
Y,monetary_policy_shock,8,24,0.025648311637210944
Y,monetary_policy_shock,8,25,0.016934452042102508
Y,monetary_policy_shock,8,26,0.010195054493828648
Y,monetary_policy_shock,8,27,0.005040391338725966
Y,monetary_policy_shock,8,28,0.0011360090633669938
Y,monetary_policy_shock,8,29,-0.001794571010549973
Y,monetary_policy_shock,8,30,-0.0039738421896465155
Y,monetary_policy_shock,8,31,-0.005577421409708191
Y,monetary_policy_shock,8,32,-0.006742077150850152
Y,monetary_policy_shock,8,33,-0.007573432861163983
Y,monetary_policy_shock,8,34,-0.008152736194978145
Y,monetary_policy_shock,8,35,-0.008542479013918759
Y,monetary_policy_shock,8,36,-0.008790879779690822
Y,monetary_policy_shock,8,37,-0.008935354850733093
Y,monetary_policy_shock,8,38,-0.009005149673238387
